,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
62,FALSE,mp-720391,BH4NF4,Orthorhombic,Pnma,62,40,0,-1.970765749,TRUE,374.2003836,1.860992408,7.4812,FALSE,FALSE,NM,0,,,,,,,,,,,,,6.216545567,4.35031377,
63,TRUE,mp-1073777,MgSi,Monoclinic,C2/m,12,12,0.121899396,0.040450323,FALSE,226.2807631,2.306775108,0,FALSE,TRUE,NM,0.0001415,,,,,,,,,,,,,,,
64,FALSE,mp-627405,La11(Ni2Ge3)2,Monoclinic,C2/m,12,21,0,-0.681565253,TRUE,553.3625152,6.597515255,0,FALSE,TRUE,NM,0.4838441,,,,,,,,,,,,,,,
65,FALSE,mp-555698,FeB2C6(O3F4)2,Tetragonal,I4/m,87,23,0.312156182,-1.80027363,FALSE,325.3850781,2.028639117,4.6232,TRUE,FALSE,NM,0.0006261,,,,,,,,,,,,,,,
66,FALSE,mp-29579,Sc7NCl12,Trigonal,R-3,148,20,0.000513078,-2.321311563,FALSE,428.1977474,2.924511199,0,FALSE,TRUE,FM,0.056536,,,,,,,,,,,,,,,
67,FALSE,mp-555303,LiEr(PO3)4,Monoclinic,C2/c,15,36,0.08026012,-2.852630637,FALSE,470.5163532,3.45922097,5.7495,FALSE,FALSE,NM,0.0013882,,,,,,,,,,,,,,,
68,TRUE,mp-1226490,CeZr3O8,Orthorhombic,Amm2,38,12,0.058063175,-3.722528156,FALSE,147.1907107,6.112153172,2.1872,FALSE,FALSE,NM,0.0002236,,,,,,,,,,,,,,,
69,TRUE,mp-1223889,HoFeCu,Orthorhombic,Imma,74,6,0.117510629,-0.066812482,FALSE,96.93402947,9.741195366,0,FALSE,TRUE,FiM,2.3939879,,,,,,,,,,,,,,,
70,TRUE,mp-2713017,Nb2Zn2SiS5O24,Triclinic,P1,1,102,0.039170692,-2.144485915,FALSE,1526.501277,2.901269434,1.1399,TRUE,FALSE,NM,0,,,,,,,,,,,,,,,
71,FALSE,mp-1197331,HoAl3(H3C)12,Monoclinic,C2/c,15,104,0.094370824,-0.171101688,FALSE,1289.926793,1.097534889,4.0129,TRUE,FALSE,NM,0,,,,,,,,,,,,,,,
72,TRUE,mp-768922,LiVBO4,Trigonal,R-3,148,42,0.102854382,-2.550690163,FALSE,437.0651593,3.024795053,0,FALSE,TRUE,FM,6.0003862,,,,,,,,,,,,,,,
73,TRUE,mp-768447,LiMn3(PO4)3,Triclinic,P1,1,38,0.031608885,-2.478222463,FALSE,438.4928708,3.458743037,0,FALSE,TRUE,FM,26.00555,,,,,,,,,,,,,,,
74,TRUE,mp-1219226,SiNi3W2,Hexagonal,P6_3/mmc,194,12,0.004503837,-0.284630617,FALSE,144.0843039,13.18078512,0,FALSE,TRUE,NM,3.76E-05,,,,,,,,,,,,,,,
