Energy Above Hull,Density,Total Magnetization,Is Metal_False,Is Metal_True,Density_binned,Energy Above Hull,Density,Total Magnetization,Energy Above Hull^2,Energy Above Hull Density,Energy Above Hull Total Magnetization,Density^2,Density Total Magnetization,Total Magnetization^2,PCA1,PCA2,PCA3,PCA4
-0.4439963868641313,-0.2791981025601536,-0.4437618218547216,True,False,1.0,-0.4439963868641313,-0.2791981025601536,-0.4437618218547216,0.19713279154840332,0.12396294875602935,0.19702864553174068,0.07795158047319005,0.12389745865047518,0.1969245545358217,-0.46300539810613645,-1.2938932670596652,-0.6753445659495213,0.4851681721725609
-0.4439963868641313,0.0382805909485554,-0.4497721656929498,True,False,1.0,-0.4439963868641313,0.0382805909485554,-0.4497721656929498,0.19713279154840332,-0.016996444068182365,0.1996972164797251,0.0014654036433706214,-0.017217544294937694,0.2022950010321263,-0.45594621394383794,-1.2875146673770221,-0.7112713202396932,0.3099654990823282
-0.32052141969337,-0.2960177502777132,-0.4497721656929498,True,False,1.0,-0.32052141969337,-0.2960177502777132,-0.4497721656929498,0.10273398048225343,0.09488002957345011,0.1441616130864659,0.08762650847947857,0.13314054462596187,0.2022950010321263,-0.4417101328430153,-1.33745869435949,-0.6798754330555342,0.47243905787895657
-0.2506824074994511,0.42046920658445,-0.4496651067055354,False,True,1.0,-0.2506824074994511,0.42046920658445,-0.4496651067055354,0.06284166942972085,-0.10540423298597397,0.11272313151744118,0.17679435368575686,-0.1890703306451885,0.20219870818850053,-0.45005398756972737,-1.3193426683833949,-0.49291395941966465,0.04306815514799498
-0.2455755366105337,-0.6878228437011413,-0.4497721656929498,True,False,0.0,-0.2455755366105337,-0.6878228437011413,-0.4497721656929498,0.06030734418155157,0.16891246393489104,0.11045304094252802,0.4731002643171247,0.3093635700245457,0.2022950010321263,-0.47229661473996437,-1.2969720313976778,-0.4779131528413154,0.4828180495261981
-0.2777965041674561,-0.4100119717511072,-0.4497721656929498,True,False,1.0,-0.2777965041674561,-0.4100119717511072,-0.4497721656929498,0.07717089772765946,0.11389989241926335,0.1249451353013273,0.16810981697923075,0.18441197249453206,0.2022950010321263,-0.44486837157211984,-1.3367676287555958,-0.6438442964489688,0.490798730552112
-0.4398138883110694,-1.0627048097718368,-0.4496945983742622,True,False,0.0,-0.4398138883110694,-1.0627048097718368,-0.4496945983742622,0.19343625635130182,0.46739233451262685,0.19778192986346896,1.1293415127121957,0.47789261262074284,0.20222523180698895,-0.5574696804736687,-1.1644658173532956,0.039042786066504194,0.4949274323826662
-0.2014762576534376,0.0996612205992638,-0.4496443037414676,True,False,1.0,-0.2014762576534376,0.0996612205992638,-0.4496443037414676,0.040592682398034374,-0.020079369759513355,0.09059265159301648,0.009932358891335123,-0.044812100146380776,0.20217999988714916,-0.4267517411481007,-1.362374363178203,-0.6650046570077609,0.30272662512620807
-0.4439963868641313,1.2682001471914743,-0.4497007005770554,True,False,2.0,-0.4439963868641313,1.2682001471914743,-0.4497007005770554,0.19713279154840332,-0.563076283173574,0.19966548622648117,1.6083316133364771,-0.5703104946639308,0.20223072009949444,-0.6413366267375055,-0.9519173427622757,0.5346522213439854,-1.2877981984305895
-0.4439963868641313,-0.4153067132386727,1.4918272807371276,False,True,1.0,-0.4439963868641313,-0.4153067132386727,1.4918272807371276,0.19713279154840332,0.18439468011838855,-0.6623659224726267,0.1724796660611091,-0.6195658846827231,2.2255486355515326,1.8417042987563466,-0.4545592106200153,-0.4079564506730005,0.58455040989814
-0.2837759447420399,-0.1364979970128063,0.243628675309134,False,True,1.0,-0.2837759447420399,-0.1364979970128063,0.243628675309134,0.08052878681423727,0.038734848057705246,-0.06913595750210119,0.018631703188508077,-0.03325482619458013,0.059354931432883444,-0.4124549088648989,-1.3371403709175846,-0.7047700364851021,0.456960727363457
-0.3796457165767088,-0.8768923363639232,2.3243097219635165,True,False,0.0,-0.3796457165767088,-0.8768923363639232,2.3243097219635165,0.14413087011504272,0.332908419399506,-0.88241422994105,0.7689401695737798,-2.0381693825259686,5.4024156836141195,4.936791881582135,0.693182512510098,0.30107373589024944,0.2125039237707621
-0.4290831067721609,-0.4911161880185971,-0.4497721656929498,False,True,1.0,-0.4290831067721609,-0.4911161880185971,-0.4497721656929498,0.1841123125172496,0.21072965974112032,0.192989638195174,0.241195110133918,0.22089039149199033,0.2022950010321263,-0.4708401536159893,-1.2841677240757776,-0.5726190142244794,0.5421858065633937
-0.3678678116471087,1.1105085280916476,-0.4497721656929498,True,False,2.0,-0.3678678116471087,1.1105085280916476,-0.4497721656929498,0.13532672684603264,-0.40852034204452614,0.16545670233324622,1.2332291909642776,-0.4994758257002703,0.2022950010321263,-0.5836936747623614,-1.0721821558172113,0.31054696198440546,-0.9365210158461895
-0.4439963868641313,-0.7106844005749527,-0.4497707510913932,True,False,0.0,-0.4439963868641313,-0.7106844005749527,-0.4497707510913932,0.19713279154840332,0.31554130605597996,0.19969658840174512,0.5050723172205799,0.31964505663553305,0.20229372853731598,-0.497891467141571,-1.246480265724493,-0.3912090768368032,0.5654833165439581
-0.3247401119990494,0.405672887374677,-0.4494654953309832,False,True,1.0,-0.3247401119990494,0.405672887374677,-0.4494654953309832,0.10545614034115515,-0.13173825888103036,0.14595947529349168,0.16457049155090736,-0.18233596526620935,0.20201923149312606,-0.4575074404469818,-1.2981695181821684,-0.5291132842038814,0.02804067014803547
